emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
127.0,127.0,126.0,127.0,127.0,127.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,127.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,128.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,128.0,126.0,128.0,127.0,128.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,128.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,128.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,128.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,127.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,128.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,126.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,126.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,128.0,126.0,128.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,128.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,128.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,127.0,127.0,127.0,129.0,127.0,127.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,127.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,127.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,127.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,131.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,131.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,131.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,131.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,130.0,127.0,128.0,22.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,130.0,126.0,127.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,126.0,127.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,126.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,125.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,125.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-101.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,129.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,128.0,127.0,129.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,127.0,127.0,130.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,128.0,127.0,130.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,125.0,128.0,127.0,129.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,126.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,125.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,128.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,129.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,127.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,127.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,127.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,127.0,127.0,127.0,132.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,125.0,127.0,127.0,126.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,129.0,127.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,129.0,127.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,128.0,126.0,128.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,131.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,128.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,128.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,128.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-78.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,128.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,126.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,126.0,127.0,127.0,127.0,128.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
126.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,126.0,127.0,127.0,130.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,127.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
127.0,126.0,127.0,127.0,127.0,129.0,127.0,128.0,23.0,-102.0,-77.0,127.0,127.0,127.0,111.0,84.0,-51.0
